ED,PERC
ELL 002,100%
ELL 008,100%
ELL 009,100%
ELL 014,100%
ELL 015,100%
ELL 016,100%
ELL 024,100%
ELL 025,48%
ELL 029,19%
ELL 033,100%
ELL 034,0%
ELL 035,30%
FIL 000,100%
FIL 001,100%
FIL 002,100%
FIL 003,100%
FIL 004,100%
FIL 005,100%
FIL 006,100%
FIL 007,100%
FIL 008,100%
FIL 009,0%
FIL 010,16%
FIL 011,47%
FIL 012,100%
FIL 013,100%
FIL 014,0%
FIL 015,72%
FIL 016,100%
FIL 017,100%
FIL 018,100%
FIL 019,100%
FIL 020,100%
FIL 021,100%
FIL 022,100%
FIL 023,100%
FIL 024,100%
FIL 025,100%
FIL 026,100%
FIL 027,100%
FIL 028,100%
FIL 029,0%
FIL 030,0%
FIL 031,0%
FIL 032,100%
FIL 033,0%
FIL 034,100%
FIL 035,0%
NIA 025,32%
SOU 000,0%
